name,manufacturer,franchise,series,year,version,size,category,packaging
Snake Eyes,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual
Scarlett,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual
Duke,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual
Destro,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual
Storm Shadow,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual
Zartan,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual
Shipwreck,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual
Lady Jaye,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual
Flint,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual
Beach Head,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual
Lifeline,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual
Roadblock,Hasbro,G.I. Joe,A Real American Hero,1986,V2,3.75",Action Figure,Individual
Cobra Commander,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual
Major Bludd,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual
Firefly,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual
Crimson Guard,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual
Viper,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual
Serpentor,Hasbro,G.I. Joe,A Real American Hero,1986,V1,3.75",Action Figure,Individual
Snake Eyes,Hasbro,G.I. Joe,25th Anniversary,2007,V25,3.75",Action Figure,Individual
Scarlett,Hasbro,G.I. Joe,25th Anniversary,2007,V25,3.75",Action Figure,Individual
Duke,Hasbro,G.I. Joe,25th Anniversary,2007,V25,3.75",Action Figure,Individual
Cobra Commander,Hasbro,G.I. Joe,25th Anniversary,2007,V25,3.75",Action Figure,Individual
Snake Eyes,Hasbro,G.I. Joe,Classified Series,2020,Classified,6",Action Figure,Individual
Scarlett,Hasbro,G.I. Joe,Classified Series,2020,Classified,6",Action Figure,Individual
Duke,Hasbro,G.I. Joe,Classified Series,2020,Classified,6",Action Figure,Individual
Cobra Commander,Hasbro,G.I. Joe,Classified Series,2020,Classified,6",Action Figure,Individual
Storm Shadow,Hasbro,G.I. Joe,Classified Series,2020,Classified,6",Action Figure,Individual
Roadblock,Hasbro,G.I. Joe,Classified Series,2020,Classified,6",Action Figure,Individual
Destro,Hasbro,G.I. Joe,Classified Series,2021,Classified,6",Action Figure,Individual
Zartan,Hasbro,G.I. Joe,Classified Series,2021,Classified,6",Action Figure,Individual
Luke Skywalker,Kenner,Star Wars,The Power of the Force,1995,POTF2,3.75",Action Figure,Individual
Darth Vader,Kenner,Star Wars,The Power of the Force,1995,POTF2,3.75",Action Figure,Individual
Han Solo,Kenner,Star Wars,The Power of the Force,1995,POTF2,3.75",Action Figure,Individual
Princess Leia,Kenner,Star Wars,The Power of the Force,1995,POTF2,3.75",Action Figure,Individual
Obi-Wan Kenobi,Kenner,Star Wars,The Power of the Force,1995,POTF2,3.75",Action Figure,Individual
Luke Skywalker,Hasbro,Star Wars,The Black Series,2013,Black Series,6",Action Figure,Individual
Darth Vader,Hasbro,Star Wars,The Black Series,2013,Black Series,6",Action Figure,Individual
Boba Fett,Hasbro,Star Wars,The Black Series,2013,Black Series,6",Action Figure,Individual
Stormtrooper,Hasbro,Star Wars,The Black Series,2013,Black Series,6",Action Figure,Individual
Ahsoka Tano,Hasbro,Star Wars,The Black Series,2020,Black Series,6",Action Figure,Individual
The Mandalorian,Hasbro,Star Wars,The Black Series,2019,Black Series,6",Action Figure,Individual
Grogu (Baby Yoda),Hasbro,Star Wars,The Black Series,2020,Black Series,6",Action Figure,Individual
Spider-Man,Toy Biz,Marvel,Spider-Man Animated Series,1994,Series 1,5",Action Figure,Individual
Venom,Toy Biz,Marvel,Spider-Man Animated Series,1994,Series 1,5",Action Figure,Individual
Carnage,Toy Biz,Marvel,Spider-Man Animated Series,1994,Series 2,5",Action Figure,Individual
Spider-Man,Hasbro,Marvel,Marvel Legends,2002,Series 1,6",Action Figure,Individual
Wolverine,Toy Biz,Marvel,Marvel Legends,2002,Series 1,6",Action Figure,Individual
Iron Man,Toy Biz,Marvel,Marvel Legends,2002,Series 1,6",Action Figure,Individual
Captain America,Toy Biz,Marvel,Marvel Legends,2002,Series 1,6",Action Figure,Individual
Hulk,Toy Biz,Marvel,Marvel Legends,2002,Series 1,6",Action Figure,Individual
Thor,Toy Biz,Marvel,Marvel Legends,2003,Series 2,6",Action Figure,Individual
Black Widow,Hasbro,Marvel,Marvel Legends,2016,Series,6",Action Figure,Individual
Iron Man,Hasbro,Marvel,Marvel Legends,2008,Series,6",Action Figure,Individual
Spider-Man,Hasbro,Marvel,Marvel Legends,2016,Series,6",Action Figure,Individual
Deadpool,Hasbro,Marvel,Marvel Legends,2016,Series,6",Action Figure,Individual
Batman,Kenner,DC Comics,Batman: The Animated Series,1992,Series 1,5",Action Figure,Individual
Robin,Kenner,DC Comics,Batman: The Animated Series,1992,Series 1,5",Action Figure,Individual
Joker,Kenner,DC Comics,Batman: The Animated Series,1992,Series 1,5",Action Figure,Individual
Catwoman,Kenner,DC Comics,Batman: The Animated Series,1992,Series 1,5",Action Figure,Individual
Batman,Mattel,DC Comics,DC Universe Classics,2008,Wave 1,6",Action Figure,Individual
Superman,Mattel,DC Comics,DC Universe Classics,2008,Wave 1,6",Action Figure,Individual
Wonder Woman,Mattel,DC Comics,DC Universe Classics,2008,Wave 1,6",Action Figure,Individual
The Flash,Mattel,DC Comics,DC Universe Classics,2009,Wave 2,6",Action Figure,Individual
Green Lantern,Mattel,DC Comics,DC Universe Classics,2009,Wave 2,6",Action Figure,Individual
Batman,McFarlane Toys,DC Comics,DC Multiverse,2020,Series 1,7",Action Figure,Individual
Superman,McFarlane Toys,DC Comics,DC Multiverse,2020,Series 1,7",Action Figure,Individual
Wonder Woman,McFarlane Toys,DC Comics,DC Multiverse,2020,Series 1,7",Action Figure,Individual
Optimus Prime,Hasbro,Transformers,Generation 1,1984,G1,Vehicle,Action Figure,Individual
Megatron,Hasbro,Transformers,Generation 1,1984,G1,Vehicle,Action Figure,Individual
Bumblebee,Hasbro,Transformers,Generation 1,1984,G1,Vehicle,Action Figure,Individual
Starscream,Hasbro,Transformers,Generation 1,1984,G1,Vehicle,Action Figure,Individual
Soundwave,Hasbro,Transformers,Generation 1,1984,G1,Vehicle,Action Figure,Individual
Optimus Prime,Hasbro,Transformers,Masterpiece,2011,MP-10,Vehicle,Action Figure,Individual
Megatron,Hasbro,Transformers,Masterpiece,2012,MP-36,Vehicle,Action Figure,Individual
Bumblebee,Hasbro,Transformers,Masterpiece,2014,MP-21,Vehicle,Action Figure,Individual
He-Man,Mattel,Masters of the Universe,Origins,2020,Origins,5.5",Action Figure,Individual
Skeletor,Mattel,Masters of the Universe,Origins,2020,Origins,5.5",Action Figure,Individual
Man-At-Arms,Mattel,Masters of the Universe,Origins,2020,Origins,5.5",Action Figure,Individual
Teela,Mattel,Masters of the Universe,Origins,2020,Origins,5.5",Action Figure,Individual
Battle Cat,Mattel,Masters of the Universe,Origins,2020,Origins,Vehicle,Vehicle,Individual
He-Man,Mattel,Masters of the Universe,Vintage,1982,Original,5.5",Action Figure,Individual
Skeletor,Mattel,Masters of the Universe,Vintage,1982,Original,5.5",Action Figure,Individual
Man-At-Arms,Mattel,Masters of the Universe,Vintage,1983,Original,5.5",Action Figure,Individual
Teenage Mutant Ninja Turtles Leonardo,Playmates,Teenage Mutant Ninja Turtles,Original,1988,Original,5",Action Figure,Individual
Teenage Mutant Ninja Turtles Raphael,Playmates,Teenage Mutant Ninja Turtles,Original,1988,Original,5",Action Figure,Individual
Teenage Mutant Ninja Turtles Donatello,Playmates,Teenage Mutant Ninja Turtles,Original,1988,Original,5",Action Figure,Individual
Teenage Mutant Ninja Turtles Michelangelo,Playmates,Teenage Mutant Ninja Turtles,Original,1988,Original,5",Action Figure,Individual
Leonardo,Playmates,Teenage Mutant Ninja Turtles,Classic Collection,2020,Retro,5.5",Action Figure,Individual
Raphael,Playmates,Teenage Mutant Ninja Turtles,Classic Collection,2020,Retro,5.5",Action Figure,Individual
Donatello,Playmates,Teenage Mutant Ninja Turtles,Classic Collection,2020,Retro,5.5",Action Figure,Individual
Michelangelo,Playmates,Teenage Mutant Ninja Turtles,Classic Collection,2020,Retro,5.5",Action Figure,Individual
Spawn,McFarlane Toys,Spawn,Series 1,1994,Series 1,6",Action Figure,Individual
Violator,McFarlane Toys,Spawn,Series 1,1994,Series 1,6",Action Figure,Individual
Medieval Spawn,McFarlane Toys,Spawn,Series 2,1995,Series 2,6",Action Figure,Individual
Mandarin Spawn,McFarlane Toys,Spawn,Series 3,1995,Series 3,6",Action Figure,Individual
Power Rangers Red Ranger,Bandai,Power Rangers,Mighty Morphin,1993,Original,8",Action Figure,Individual
Power Rangers Blue Ranger,Bandai,Power Rangers,Mighty Morphin,1993,Original,8",Action Figure,Individual
Power Rangers Yellow Ranger,Bandai,Power Rangers,Mighty Morphin,1993,Original,8",Action Figure,Individual
Power Rangers Pink Ranger,Bandai,Power Rangers,Mighty Morphin,1993,Original,8",Action Figure,Individual
Power Rangers Black Ranger,Bandai,Power Rangers,Mighty Morphin,1993,Original,8",Action Figure,Individual
Mega Man,Bandai,Mega Man,D-Arts,2012,D-Arts,5",Action Figure,Individual
Zero,Bandai,Mega Man,D-Arts,2013,D-Arts,5",Action Figure,Individual
