name,manufacturer,franchise,series,year,version,size,category,packaging,subProductLine
Snake Eyes,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Scarlett,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Clutch,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Breaker,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Flash,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Grunt,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Rock 'n Roll,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Short-Fuze,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Stalker,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Steeler,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Zap,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Wave 1
Cobra Commander,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Cobra Wave 1
Cobra Officer,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Cobra Wave 1
Cobra Soldier,Hasbro,G.I. Joe,A Real American Hero,1982,V1,3.75",Action Figure,Individual,Cobra Wave 1
Airborne,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Doc,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Duke,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Gung-Ho,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Rip Cord,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Snow Job,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Torpedo,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Trip-Wire,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Ace,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Wild Bill,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Wave 2
Destro,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Cobra Wave 2
Major Bludd,Hasbro,G.I. Joe,A Real American Hero,1983,V1,3.75",Action Figure,Individual,Cobra Wave 2
Cobra Commander,Hasbro,G.I. Joe,A Real American Hero,1983,V2,3.75",Action Figure,Individual,Cobra Wave 2
Baroness,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Wave 3
Deep Six,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Wave 3
Mutt,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,with Vehicle,Wave 3
Recondo,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Wave 3
Roadblock,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Wave 3
Scrap-Iron,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Cobra Wave 3
Spirit,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Wave 3
Storm Shadow,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Cobra Wave 3
Thunder,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Wave 3
Zartan,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,with Vehicle,Cobra Wave 3
Firefly,Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Individual,Cobra Wave 3
Zartan (Mail-Away),Hasbro,G.I. Joe,A Real American Hero,1984,V1,3.75",Action Figure,Mail-Away,Cobra Wave 3
Alpine,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Airtight,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Bazooka,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Barbecue,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Footloose,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Flint,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Lady Jaye,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Shipwreck,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
Snake Eyes,Hasbro,G.I. Joe,A Real American Hero,1985,V2,3.75",Action Figure,Individual,Wave 4
Quick Kick,Hasbro,G.I. Joe,A Real American Hero,1985,V1,3.75",Action Figure,Individual,Wave 4
