name,manufacturer,product line,sub product line,year,version,category,size,packaging,source name,source url
Snake Eyes,Hasbro,Classified Series,Wave 1,2020,V1,Action Figure,6",Individual,Hasbro Classified Database,https://hasbro.com/classified/snake-eyes
Scarlett,Hasbro,Classified Series,Wave 1,2020,V1,Action Figure,6",Individual,Hasbro Classified Database,https://hasbro.com/classified/scarlett
Duke,Hasbro,Classified Series,Wave 1,2020,V1,Action Figure,6",Individual,Hasbro Classified Database,https://hasbro.com/classified/duke
Roadblock,Hasbro,Classified Series,Wave 1,2020,V1,Action Figure,6",Individual
Destro,Hasbro,Classified Series,Wave 2,2020,V1,Action Figure,6",Individual
Cobra Commander,Hasbro,Classified Series,Wave 2,2020,V1,Action Figure,6",Individual
Gung Ho,Hasbro,Classified Series,Wave 2,2020,V1,Action Figure,6",Individual
Cobra Infantry,Hasbro,Classified Series,Wave 2,2020,V1,Action Figure,6",Individual
Zartan,Hasbro,Classified Series,Wave 3,2021,V1,Action Figure,6",Individual
Arctic Mission Storm Shadow,Hasbro,Classified Series,Wave 3,2021,V1,Action Figure,6",Individual
Firefly,Hasbro,Classified Series,Wave 3,2021,V1,Action Figure,6",Individual
Red Ninja,Hasbro,Classified Series,Wave 3,2021,V1,Action Figure,6",Individual
Flint,Hasbro,Classified Series,Wave 4,2021,V1,Action Figure,6",Individual
Lady Jaye,Hasbro,Classified Series,Wave 4,2021,V1,Action Figure,6",Individual
Cobra Viper,Hasbro,Classified Series,Wave 4,2021,V1,Action Figure,6",Individual
Beach Head,Hasbro,Classified Series,Wave 4,2021,V1,Action Figure,6",Individual
Snake Eyes Deluxe,Hasbro,Classified Series,Deluxe,2020,V1,Action Figure,6",Deluxe
Cobra Island Firefly,Hasbro,Classified Series,Cobra Island,2020,V2,Action Figure,6",Individual
Cobra Island Cobra Trooper,Hasbro,Classified Series,Cobra Island,2020,V1,Action Figure,6",Individual
Cobra Island Roadblock,Hasbro,Classified Series,Cobra Island,2020,V2,Action Figure,6",Individual
Spirit Iron-Knife,Hasbro,Classified Series,Wave 5,2021,V1,Action Figure,6",Individual
Cobra Officer,Hasbro,Classified Series,Wave 5,2021,V1,Action Figure,6",Individual
Baroness,Hasbro,Classified Series,Wave 5,2021,V1,Action Figure,6",Individual
Alley Viper,Hasbro,Classified Series,Wave 5,2021,V1,Action Figure,6",Individual
Shipwreck,Hasbro,Classified Series,Wave 6,2022,V1,Action Figure,6",Individual
Python Patrol Viper,Hasbro,Classified Series,Wave 6,2022,V1,Action Figure,6",Individual
Major Bludd,Hasbro,Classified Series,Wave 6,2022,V1,Action Figure,6",Individual
Stalker,Hasbro,Classified Series,Wave 6,2022,V1,Action Figure,6",Individual
Serpentor,Hasbro,Classified Series,Wave 7,2022,V1,Action Figure,6",Individual
Torpedo,Hasbro,Classified Series,Wave 7,2022,V1,Action Figure,6",Individual
Tiger Force Outback,Hasbro,Classified Series,Wave 7,2022,V1,Action Figure,6",Individual
Tiger Force Bazooka,Hasbro,Classified Series,Wave 7,2022,V1,Action Figure,6",Individual
